Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Rencontres Cinématographiques de Dijon,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,www.rencontres-cinematographiques-de-dijon.fr,csantiard@larp.fr,De 1990 à 1999,1993,"Cinéma, audiovisuel",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1990,"47.3229437965, 5.03788805877",
Festival musical des frands crus de Bourgogne-Franche-Comté,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Meursault,21190,21412,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",9,Place,Place de l'Hôtel de ville,9 Place Place de l'Hôtel de ville,Office de tourisme Pays Beaunois (Antenne de Meursault),www.musicalgrandscrus-bourgogne.fr,fmgcb2017@gmail.com,De 1990 à 1999,1990,Musique,,"Chanson ou variété française, Jazz, blues, Musique classique",,,,,Saison (21 juin - 5 septembre),,FEST_21412_3893,"46.9702784903, 4.77216959331",
Kultur'Mix,Départementale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.facebook.com/KulturMixfestival/,,2010 et après,2013,Pluridisciplinaire,Arts de la rue,"Musiques électroniques, techno, Hip-hop, rap, slam",,,,,Saison (21 juin - 5 septembre),,FEST_21231_1980,"47.3229437965, 5.03788805877",
Les festives de Meloisey,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Meloisey,21190,21401,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",,Rue,des Glacis,Rue des Glacis,,http://www.festives-meloisey.fr/infos-pratiques/,lesfestivesdemeloisey@orange.fr,2010 et après,2018,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_21401_3846,"47.034440345, 4.72026948117",
Ciné-concerts,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242500338,CC du Grand Pontarlier,14,Rue,Danton,14 Rue Danton,,www.scenesoccupations.fr,scenesoccupations@orange.fr,De 2000 à 2009,2004,"Cinéma, audiovisuel",,,,Ciné-concert,,,Saison (21 juin - 5 septembre),,FEST_21231_1965,"47.3229437965, 5.03788805877",
Des livres au village,,Bourgogne-Franche-Comté,Côte-d'Or,Recey-sur-Ource,21290,21519,242101434,CC du Pays Châtillonnais,,,,,,,association.arce@orange.fr,De 2000 à 2009,2001,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21519_5301,"47.7803300768, 4.86261547003",
Rencontres BD de Longvic,,Bourgogne-Franche-Comté,Côte-d'Or,Longvic,21600,21355,242100410,Dijon Métropole,,,,,,,"christophe.drouhin@ville-longvic.fr // culture@ville-longvic.fr, christophe.drouhin@ville-longvic.fr",2010 et après,2011,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21355_3426,"47.285832398, 5.05278368483",
Cinétoiles,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Semur-en-Auxois,21140,21603,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",6,Rue,du Lycée,6 Rue du Lycée,,http://www.etoilecinema.com,etoilecinema@wanadoo.fr,2010 et après,2012,"Cinéma, audiovisuel",,,,Fiction long métrage,,,Après-saison (6 septembre - 31 décembre),,FEST_21603_6320,"47.4909559267, 4.34106366761",
Interactions,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,27,Boulevard,de la Trémouille,27 Boulevard de la Trémouille,,chkt.events@gmail.com,chkt.events@gmail.com,2010 et après,2016,Musique,,"Hip-hop, rap, slam, Musiques du monde, Musiques électroniques, techno, Pop, rock",,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1976,"47.3229437965, 5.03788805877",
Les nuits d'Orient,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.facebook.com/Lesnuitsdorient/,,De 1990 à 1999,1999,Pluridisciplinaire,Danse,"Musique du minde, jazz,",,,"Photographies, installations",Poésie,Après-saison (6 septembre - 31 décembre),,FEST_21231_1986,"47.3229437965, 5.03788805877",
Sons d'une Nuits d'été,,Bourgogne-Franche-Comté,Côte-d'Or,Nuits-Saint-Georges,21700,21464,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,21,Rue,général de Gaulle,21 Rue général de Gaulle,"parc du clos Frantin, Albert Bichot",www.festivalnuits.fr,fabrice.boury21@gmail.com,De 2000 à 2009,2005,Musique,,"Chanson ou variété française, Jazz, blues, Pop, rock, Variétés internationales",01- Chanson,,,,Saison (21 juin - 5 septembre),,FEST_21464_4488,"47.146518392, 4.9385500417",510
Novosonic,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,BP27877 Atheneum,http://novosonic.wixsite.com/novosonic9,festival.novosonic@gmail.com,De 2000 à 2009,2004,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1988,"47.3229437965, 5.03788805877",
Livres en vignes,,Bourgogne-Franche-Comté,Côte-d'Or,Vougeot,21640,21716,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,,Rue,du Château,Rue du Château,Château du Clos de Vougeot,www.livresenvignes.fr,ephilippe3@wanadoo.fr,De 2000 à 2009,2008,"Livre, littérature",,,,,,"Bande dessinée, comics, manga, Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Polar",Après-saison (6 septembre - 31 décembre),,FEST_21716_7197,"47.174271631, 4.95989664941",
Banana Pschit !!!,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,200026573,CC Haut-Jura Saint-Claude,,,,,,https://www.facebook.com/bananapschit/,,2010 et après,2019,"Arts visuels, arts numériques",,,,,Street art,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1964,"47.3229437965, 5.03788805877",
VYV Les Solidarités,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,12,Avenue,du Maréchal Foch,12 Avenue du Maréchal Foch,,https://vyv-les-solidarites.org/,communication@vyvfestival.org,2010 et après,2019,Musique,,,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_21231_1996,"47.3229437965, 5.03788805877",4794
Complètement Barges,,Bourgogne-Franche-Comté,Côte-d'Or,Barges,21910,21048,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,,Barges Sud,Espace de Rencontre et de Loisir,Barges Sud Espace de Rencontre et de Loisir,Salle des Fêtes et Préau,https://completementbarges.wixsite.com/,completement.barges@gmail.com,2010 et après,2019,Musique,,"Hip-hop, rap, slam, Métal, hard rock, Musique contemporaine, Musiques électroniques, techno, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_21048_618,"47.2092455725, 5.05951734595",
Grésilles en fête,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.facebook.com/gresillesenfete/,,De 1990 à 1999,1997,Pluridisciplinaire,Danse ; Théâtre ; Arts du cirque,Musiques du monde,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1975,"47.3229437965, 5.03788805877",
Fête de l’'accordéon,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Saulieu,21210,21584,242101442,CC de Saulieu,1,Rue,de Poilbourg,1 Rue de Poilbourg,,www.fetedelaccordeon.com,,De 2000 à 2009,2008,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_21584_6257,"47.2840306915, 4.23192469784",
Ce murmure festival,,Bourgogne-Franche-Comté,Côte-d'Or,Semur-en-Auxois,21140,21603,200067114,CA de l'Auxerrois,,,,,,http://cemurmurefestival.com/ // http://www.cemurmurefestival.fr/,,2010 et après,2015,Musique,,,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_21603_6319,"47.4909559267, 4.34106366761",3692
Risk Festival,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Chenôve,21300,21166,242100410,Dijon Métropole,40,Rue,De Longvic,40 Rue De Longvic,,http://www.riskparty.com,risk.infos@gmail.com,2010 et après,2016,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21166_1607,"47.2926136721, 5.00488353457",
Printemps de l'Auxois,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Vitteaux,21350,21710,200071017,CC des Terres d'Auxois,,,,,,https://www.ugmm.fr/,ugmm@wanadoo.fr,De 2000 à 2009,2002,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21710_7185,"47.3974282764, 4.54312292794",
Festival de la karriere,,Bourgogne-Franche-Comté,Côte-d'Or,Villars-Fontaine,21700,21688,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,35,Route,départementale,35 Route  départementale,,www.lakarriere.fr,accueilkarriere@gmail.com,2010 et après,2016,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_21688_7072,"47.1500426655, 4.90096219055",
Ciné-rétro en ciné-concerts,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Beaune,21200,21054,200040293,CC du Clunisois,,,,,,https://www.beaune-tourisme.fr/,,De 1990 à 1999,1995,"Cinéma, audiovisuel",,,,,,,Saison (21 juin - 5 septembre),,FEST_21054_689,"47.0255189366, 4.83767985985",
Prise de CirQ',Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,7,Allée,de Saint-Nazaire,7 Allée de Saint-Nazaire,,www.cirqonflex.fr,n.jannaud@cirqonflex.fr,De 2000 à 2009,2009,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1989,"47.3229437965, 5.03788805877",
Le Printemps de l'Europe,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://printempsdeleurope.com/,,De 2000 à 2009,2008,Pluridisciplinaire,,"Variétés internationales , Musique classique",,Documentaire,Photographie,Poésie,Avant-saison (1er janvier - 20 juin),,FEST_21231_1982,"47.3229437965, 5.03788805877",
Rencontres Musique ancienne Seurre,,Bourgogne-Franche-Comté,Côte-d'Or,Seurre,21250,21607,242101509,CC Rives de Saône,,,,,,http://www.orgue-seurre.com/2018/,l.beyhurst@orange.fr,De 1990 à 1999,1999,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_21607_6358,"47.0074486166, 5.15220213947",
La fontaine du rire,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,Place,de la Fontaine d’Ouche,Place de la Fontaine d’Ouche,,http://www.la-tete-de-mule.fr/,JJmichelet@wanadoo.fr,De 1980 à 1989,1989,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1981,"47.3229437965, 5.03788805877",
Rootstock festival à Pommard,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Pommard,21200,21492,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",15,Rue,Monge,15 Rue Monge,,http://rootstockburgundy.com,hello@rootstockmusic.com,2010 et après,2017,Musique,,,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_21492_5128,"47.0136884402, 4.79517699243",3548
Street Art on the Rock,,Bourgogne-Franche-Comté,Côte-d'Or,Villars-Fontaine,21700,21688,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,,,,,,https://villart.fr/actu/index.php/street-art-on-the-roc-2019/,info.villart@gmail.com,2010 et après,2016,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_21688_7073,"47.1500426655, 4.90096219055",
Festival International du Film Policier de Beaune,,Bourgogne-Franche-Comté,Côte-d'Or,Beaune,21200,21054,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",,,,,,www.beaunefestivalpolicier.com,,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,Film policier,,,Avant-saison (1er janvier - 20 juin),,FEST_21054_691,"47.0255189366, 4.83767985985",
De Bach à Bacchus,,Bourgogne-Franche-Comté,Côte-d'Or,Meursault,21190,21412,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",,Place,de la Mairie,Place de la Mairie,Hôtel de Ville,https://de-bach-a-bacchus.musicalgrandscrus-bourgogne.fr,bachabacchus@gmail.com,De 1980 à 1989,1986,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_21412_3892,"46.9702784903, 4.77216959331",
La Salamandre noire,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Verrey-sous-Salmaise,21690,21670,242101459,CC du Pays d'Alésia et de la Seine,31,Rue,de la Fontaine,31 Rue de la Fontaine,,,katia.penaque@wanadoo.fr,De 2000 à 2009,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_21670_7005,"47.4384612168, 4.67446130828",
Modes de vie,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,http://www.modesdevie.org,,De 2000 à 2009,2006,Pluridisciplinaire,Danse,Musique du monde,,,"Photographie, installation",Poésie,Avant-saison (1er janvier - 20 juin),,FEST_21231_1987,"47.3229437965, 5.03788805877",
"À pas contés, festival international jeune et tous publics",Départementale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21024,21231,200067916,CC Cœur de Loire,4,Passage,Darcy,4 Passage Darcy,BP 42407,apscontes.fr,accueil@abcdijon.org,De 2000 à 2009,2001,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1962,"47.3229437965, 5.03788805877",
Musique au Chambertin,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Gevrey-Chambertin,21220,21295,200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,,,,,,www.ot-gevreychambertin.fr,,De 1980 à 1989,1988,Pluridisciplinaire,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21295_2392,"47.2200822946, 4.98301612333",
Beire le Chatel invite la BD,,Bourgogne-Franche-Comté,Côte-d'Or,Beire-le-Châtel,21310,21056,200069052,CA Grand Belfort,,Chemin,de Letrée,Chemin  de Letrée,Salle polyvalente,www.bdbeire.com,BdsBeire@orange.fr,2010 et après,2012,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Saison (21 juin - 5 septembre),,FEST_21056_719,"47.4180183198, 5.21317142788",
Festival MV,Départementale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,www.festivalmv.com/,,2010 et après,2015,Pluridisciplinaire,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1972,"47.3229437965, 5.03788805877",
Perché sur la colline,,Bourgogne-Franche-Comté,Côte-d'Or,Sombernon,21540,21611,200039055,CC Ouche et Montagne,1,Rue,Ferdinand-Mercusot,1 Rue Ferdinand-Mercusot,,http://www.perchesurlacolline.com/,collinart@free.fr,2010 et après,2015,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21611_6386,"47.3105432951, 4.70317881741",
Image sonore,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Alise-Sainte-Reine,21150,21008,242101459,CC du Pays d'Alésia et de la Seine,1,Avenue,des 3 Ormeaux,1 Avenue des 3 Ormeaux,,imagesonore.net,contact@imagesonore.net,2010 et après,2019,Musique,,"Musique classique, Musique contemporaine, Musiques électroniques, techno",02- Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),,FEST_21008_146,"47.5355145985, 4.48820121343",5505
Tribu festival,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,233,Place,Galilée,233 Place Galilée,,www.tribufestival.com,contact@zutique.com,De 1990 à 1999,1996,Musique,,,07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1994,"47.3229437965, 5.03788805877",185
Wanagain Festival,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Clénay,21490,21179,200069540,CC Norge et Tille,,,,,,http://wanagain1.wixsite.com/wanagain,,2010 et après,2017,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21179_1654,"47.4135413138, 5.11448988395",
Fête de la vigne,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.fetesdelavigne.org/,,Avant 1980,1946,Pluridisciplinaire,Danse,Musiques du monde,,,,,Saison (21 juin - 5 septembre),,FEST_21231_1973,"47.3229437965, 5.03788805877",
Jours de fête à Fontaine d'Ouche,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.facebook.com/joursdefeteafontainedouche/,,De 1980 à 1989,1981,Pluridisciplinaire,"Arts du cirque, Danse",Musiques du monde,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1979,"47.3229437965, 5.03788805877",
Talant international blues festival,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Talant,21240,21617,242100410,Dijon Métropole,,,,,,www.jagoblues.com,jagoblues@wanadoo.fr,2010 et après,2014,Musique,,,"03- Jazz, blues et musiques improvisées",,,,Avant-saison (1er janvier - 20 juin),,FEST_21617_6496,"47.3388300285, 4.99779516001",1683
Festisol,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.festivaldessolidarites.org/acteurs/collectif-festisol-735,,2010 et après,2015,Pluridisciplinaire,Théâtre,Musique du monde,,documentaire,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1971,"47.3229437965, 5.03788805877",
Entre cour et jardins,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,6,Avenue,des Grésilles,6 Avenue des Grésilles,,http://art-danse.org/ // www.ledancing.com,frederic.seguette@ledancing.com // jeromine.berthier@ledancing.com,De 2000 à 2009,1999,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1969,"47.3229437965, 5.03788805877",
Itinéraires singuliers,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://www.itinerairessinguliers.com/festival.html,,De 2000 à 2009,2009,Pluridisciplinaire,Théâtre ; Danse,,,,"Peinture, sculpture",,Avant-saison (1er janvier - 20 juin),,FEST_21231_1978,"47.3229437965, 5.03788805877",
Crocmillivre,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://crocmillivre.wordpress.com/,alix.devevey@gmail.com,De 2000 à 2009,2009,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1967,"47.3229437965, 5.03788805877",
Fenêtres sur courts,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,21,Rue,Berlier,21 Rue Berlier,21 rue Berlier,https://www.fenetres-sur-courts.com/,contact@plan09.fr,De 1990 à 1999,1995,"Cinéma, audiovisuel",,,,Court métrage,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1970,"47.3229437965, 5.03788805877",
Les Écrans de l'aventure,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,16,Avenue,Maréchal Foch,16 Avenue Maréchal Foch,Cinéma Olympia,www.lesecransdelaventure.com,pas de mail grand public,De 1990 à 1999,1992,"Cinéma, audiovisuel",,,,Documentaire,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1984,"47.3229437965, 5.03788805877",
Beaune Blues Boogie festival,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Beaune,21200,21054,200070308,CA Mâconnais Beaujolais Agglomération,22,Avenue,de L’aigue,22 Avenue de L’aigue,,www.jpboogie.com,,De 2000 à 2009,2006,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21054_688,"47.0255189366, 4.83767985985",
D'jazz au jardin,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,2,Rue,Des corroyeurs,2 Rue Des corroyeurs,,www.mediamusic-dijon.fr,info@mediamusic-dijon.fr,De 2000 à 2009,2003,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_21231_1968,"47.3229437965, 5.03788805877",
Italiart,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,http://www.ombradipeter.com/programme-complet15-italiart-2021/,,De 2000 à 2009,2006,Pluridisciplinaire,Théâtre,Variétés internationales,,Fiction long métrage,Photographie,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1977,"47.3229437965, 5.03788805877",
Génériq Festival,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,42,Avenue,de stalingrad,42 Avenue de stalingrad,,www.generiq-festival.com,contact@lavapeur.com,De 2000 à 2009,2008,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1974,"47.3229437965, 5.03788805877",
Les fêtes de la vigne,Régionale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,27,Boulevard,De la Trémouille,27 Boulevard De la Trémouille,Cellier de Clairvaux,www.fetesdelavigne.org,contact@tradculture.fr,Avant 1980,1946,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_21231_1985,"47.3229437965, 5.03788805877",
Festival Livres au jardin,,Bourgogne-Franche-Comté,Côte-d'Or,Flavigny-sur-Ozerain,21150,21271,242101459,CC du Pays d'Alésia et de la Seine,,,,,,,lacolline.flavigny@gmail.com,2010 et après,2012,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21271_2226,"47.5087961778, 4.51921128225",
